OrderID,OrderDate,CustomerID,CustomerName,City,Region,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,TotalPrice,SalesChannel,SalesRep,ShippingDate,ShippingMode,PaymentMethod,ReturnFlag
ORD100198,14-05-2024,C1143,Customer_461,Lucknow,North,P028,Phone Stand,Electronics,Accessories,1,12.61,0,12.61,Online,Sneha Kapoor,15-05-2024,SameDay,Cash,No
ORD101061,02-02-2024,C1038,Customer_125,Pune,West,P011,Pen Set,Office Supplies,Stationery,5,8.42,0.1,37.89,Offline,Saurabh Sen,04-02-2024,Standard,NetBanking,No
ORD100249,14-07-2023,C1257,Customer_345,Pune,West,P028,Phone Stand,Electronics,Accessories,5,13.64,0.05,64.79,Online,Karan Mehta,21-07-2023,SameDay,UPI,No
ORD100903,07-07-2024,C1012,Customer_427,Kolkata,East,P016,Filing Cabinet,Furniture,Storage,4,277.6,0,1110.4,Online,Priya Singh,05-07-2024,SameDay,Credit Card,No
ORD100097,19-06-2023,C1266,Customer_155,Jaipur,North,P004,Smartphone B,Electronics,Phones,5,406.98,0,2034.9,Offline,,23-06-2023,SameDay,Credit Card,No
ORD100380,11-12-2023,C1274,Customer_5,Chennai,South,P001,Laptop A,Electronics,Laptops,7,1040.94,0,7286.58,Online,Neha Sharma,18-12-2023,Standard,NetBanking,No
ORD100391,20-09-2024,C1101,Customer_296,Jaipur,North,P027,Calculator,Office Supplies,Electronics,1,14.95,0,14.95,Offline,Vikram Rao,21-09-2024,SameDay,UPI,No
ORD100107,08-01-2024,C1028,Customer_4,Kolkata,East,P015,Projector,Electronics,AV,2,688.4,0.05,1307.96,Online,Karan Mehta,17-01-2024,Express,Cash,No
ORD100557,20-12-2024,C1154,Customer_342,Mumbai,West,P016,Filing Cabinet,Furniture,Storage,6,323.63,0,1941.78,Online,Priya Singh,22-12-2024,SameDay,Credit Card,No
ORD100407,06-06-2024,C1281,Customer_267,Delhi,North,P015,Projector,Electronics,AV,1,561.03,0.03,544.2,Online,Rita Patel,14-06-2024,Express,UPI,No
ORD100626,28-12-2024,C1066,Customer_89,Hyderabad,South,P022,Keyboard,Electronics,Accessories,1,38.23,0,38.23,Offline,,02-01-2025,Standard,NetBanking,No
